Number Correct : 48325
Number Total : 56824
Percent : 85.04329156694355
Confusion matrix:
Predicted  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX  FW    IN    JJ  JJR  JJS  LS   MD    NN   NNP  NNPS   NNS  PDT  POS   PRP  PRP$    RB  RBR  RBS  RP  SYM    TO  UH    VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
Actual                                                                                                                                                                                                                                             
           0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     1     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
#          5    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
$          0  371    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     4     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
''         0    0  530   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     1     0     0     0    0    2     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
(          0    0    0  76   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
)          0    0    0   0  76     0     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
,          0    0    0   0   0  3070     0    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
.          0    0    0   0   0     0  2363    0     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
:          0    0    0   0   0     0     0  336     0     0     0   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
CC         0    0    0   0   0     0     0    0  1324     0    10   0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     2    0    0   0   37     0   0     0     0    0    0    0     0    0    0    0    0    0
CD         0    0    0   0   0     0     0    0     0  1423     0   0   0     0     0    0    0   4    0   506     1     0     0    0    0     1     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
DT         0    0    0   0   0     0     0    0     0     0  4765   0   0    36     2    0    0   0    0     2     0     0     0    8    0     0     0     0    0    0   0    0     0   2     0     0    0    0    0     0    4    0    0    0    0
EX         0    0    0   0   0     0     0    0     0     0     0  56   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     1    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
FW         0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0    19     1     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
IN         0    0    0   0   0     0     0    0     0     0     7   0   0  5765     5    0    0   0    0    16     0     0     0    0    0     0     0    37    0    0  20    0     0   0     0     0    0    0    1     0   15    0    0    0    0
JJ         0    0    0   0   0     0     0    0     0     1     0   0   0     9  2427    0    1   0    0  1049    33     0     0    3    0     0     0    39    3    0   0    0     0   0     6    18   19  101    2     0    0    0    0    0    0
JJR        0    0    0   0   0     0     0    0     0     0     0   0   0     0     1  127    0   0    0    16     1     0     0    0    0     0     0     0   49    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
JJR|RBR    0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    1    0   0    0     0     0     0     0    0    0     0     0     0    3    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
JJS        0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0  104   0    0    11     0     0     0    0    0     0     0     0    0   13   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
JJ|IN      0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0    0     1     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
LS         0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   4    0     0     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
MD         0    0    0   0   0     0     0    0     0     0     0   0   0     0     0    0    0   0  580     4     0     0     0    0    0     0     0     0    0    0   0    0     0   0     0     0    0    0    0     0    0    0    0    0    0
